Codes;Names;Borough;Population;Hectares;Square Kilometres;Population per hectare;Population per square kilometre;;Census population (2011);Population per hectare
E09000001;City of London;City of London;0;315.1;3.2;0.0;0;;7,375;23.4
E05000026;Abbey;Barking and Dagenham;8,289;127.9;1.3;64.8;6,481;;12,786;100.0
E05000027;Alibon;Barking and Dagenham;17,574;136.1;1.4;129.1;12,913;;10,385;76.3
E05000028;Becontree;Barking and Dagenham;11,324;128.4;1.3;88.2;8,819;;11,545;89.9
E05000029;Chadwell Heath;Barking and Dagenham;14,751;338;3.4;43.6;4,364;;10,021;29.6
E05000030;Eastbrook;Barking and Dagenham;11,240;345.4;3.5;32.5;3,254;;10,506;30.4
E05000031;Eastbury;Barking and Dagenham;10,964;144.5;1.4;75.9;7,588;;11,624;80.4
E05000032;Gascoigne;Barking and Dagenham;12,263;113.4;1.1;108.1;10,814;;12,452;109.8
E05000033;Goresbrook;Barking and Dagenham;17,432;128;1.3;136.2;13,619;;11,267;88.0
E05000034;Heath;Barking and Dagenham;12,496;200.5;2.0;62.3;6,232;;10,786;53.8
E05000035;Longbridge;Barking and Dagenham;11,832;164;1.6;72.1;7,215;;11,478;70.0
E05000036;Mayesbrook;Barking and Dagenham;12,153;185.1;1.9;65.7;6,566;;10,342;55.9
E05000037;Parsloes;Barking and Dagenham;11,317;124.3;1.2;91.0;9,105;;9,839;79.2
E05000038;River;Barking and Dagenham;10,306;355.2;3.6;29.0;2,901;;10,923;30.8
E05000039;Thames;Barking and Dagenham;14,146;788.4;7.9;17.9;1,794;;10,728;13.6
E05000040;Valence;Barking and Dagenham;21,082;129.3;1.3;163.0;16,305;;9,867;76.3
E05000041;Village;Barking and Dagenham;11,709;214;2.1;54.7;5,471;;10,787;50.4
E05000042;Whalebone;Barking and Dagenham;11,043;155.4;1.6;71.1;7,106;;10,575;68.1
E05000043;Brunswick Park;Barnet;12,771;317.4;3.2;40.2;4,024;;16,394;51.7
E05000044;Burnt Oak;Barnet;16,787;206.4;2.1;81.3;8,133;;18,217;88.3
E05000045;Childs Hill;Barnet;20,202;308.9;3.1;65.4;6,540;;20,049;64.9
E05000046;Colindale;Barnet;22,858;264.2;2.6;86.5;8,652;;17,098;64.7
E05000047;Coppetts;Barnet;33,098;272;2.7;121.7;12,168;;17,250;63.4
E05000048;East Barnet;Barnet;17,726;375.2;3.8;47.2;4,724;;16,137;43.0
E05000049;East Finchley;Barnet;17,771;252.4;2.5;70.4;7,041;;15,989;63.3
E05000050;Edgware;Barnet;17,268;556;5.6;31.1;3,106;;16,728;30.1
E05000051;Finchley Church End;Barnet;21,591;270.9;2.7;79.7;7,970;;15,715;58.0
E05000052;Garden Suburb;Barnet;17,095;473.1;4.7;36.1;3,613;;15,929;33.7
E05000053;Golders Green;Barnet;16,831;297.8;3.0;56.5;5,652;;18,818;63.2
E05000054;Hale;Barnet;23,985;542.2;5.4;44.2;4,424;;17,437;32.2
E05000055;Hendon;Barnet;18,741;284;2.8;66.0;6,599;;18,472;65.0
E05000056;High Barnet;Barnet;20,159;830.9;8.3;24.3;2,426;;15,307;18.4
E05000057;Mill Hill;Barnet;16,064;938.7;9.4;17.1;1,711;;18,451;19.7
E05000058;Oakleigh;Barnet;25,613;331.7;3.3;77.2;7,722;;15,811;47.7
E05000059;Totteridge;Barnet;17,029;876.8;8.8;19.4;1,942;;15,159;17.3
E05000060;Underhill;Barnet;17,730;455.2;4.6;38.9;3,895;;15,915;35.0
E05000061;West Finchley;Barnet;16,592;216.1;2.2;76.8;7,678;;16,533;76.5
E05000062;West Hendon;Barnet;17,794;342.6;3.4;51.9;5,194;;17,402;50.8
E05000063;Woodhouse;Barnet;21,265;261.2;2.6;81.4;8,141;;17,575;67.3
E05000064;Barnehurst;Bexley;18,844;287;2.9;65.7;6,566;;10,418;36.3
E05000065;Belvedere;Bexley;11,441;316.1;3.2;36.2;3,619;;11,890;37.6
E05000066;Blackfen and Lamorbey;Bexley;13,709;168.7;1.7;81.3;8,126;;10,616;62.9
E05000067;Blendon and Penhill;Bexley;10,973;209.8;2.1;52.3;5,230;;10,910;52.0
E05000068;Brampton;Bexley;11,000;197.3;2.0;55.8;5,575;;10,546;53.5
E05000069;Christchurch;Bexley;11,228;254.8;2.5;44.1;4,407;;10,965;43.0
E05000070;Colyers;Bexley;12,749;164.1;1.6;77.7;7,769;;11,128;67.8
E05000071;Crayford;Bexley;10,874;396.8;4.0;27.4;2,740;;11,226;28.3
E05000072;Cray Meadows;Bexley;14,450;718.4;7.2;20.1;2,011;;11,207;15.6
E05000073;Danson Park;Bexley;12,437;271.6;2.7;45.8;4,579;;10,864;40.0
E05000074;East Wickham;Bexley;11,697;216.9;2.2;53.9;5,393;;10,858;50.1
E05000075;Erith;Bexley;11,773;475.6;4.8;24.8;2,475;;12,053;25.3
E05000076;Falconwood and Welling;Bexley;15,914;166.5;1.7;95.6;9,558;;10,800;64.9
E05000077;Lesnes Abbey;Bexley;11,360;237;2.4;47.9;4,793;;11,346;47.9
E05000078;Longlands;Bexley;13,178;259.2;2.6;50.8;5,084;;10,442;40.3
E05000079;North End;Bexley;11,054;568.9;5.7;19.4;1,943;;11,566;20.3
E05000080;Northumberland Heath;Bexley;14,025;176.3;1.8;79.6;7,955;;10,598;60.1
E05000081;St. Mary's;Bexley;10,756;442.9;4.4;24.3;2,429;;10,491;23.7
E05000082;St. Michael's;Bexley;11,981;144.4;1.4;83.0;8,297;;11,135;77.1
E05000083;Sidcup;Bexley;11,656;270.2;2.7;43.1;4,314;;10,844;40.1
E05000084;Thamesmead East;Bexley;12,411;483.7;4.8;25.7;2,566;;12,094;25.0
E05000085;Alperton;Brent;13,940;205.8;2.1;67.7;6,774;;14,017;68.1
E05000086;Barnhill;Brent;18,922;297.5;3.0;63.6;6,360;;15,772;53.0
E05000087;Brondesbury Park;Brent;17,047;172.2;1.7;99.0;9,900;;13,023;75.6
E05000088;Dollis Hill;Brent;13,326;229.8;2.3;58.0;5,799;;13,425;58.4
E05000089;Dudden Hill;Brent;14,354;168.2;1.7;85.3;8,534;;15,059;89.5
E05000090;Fryent;Brent;17,229;265.8;2.7;64.8;6,482;;13,445;50.6
E05000091;Harlesden;Brent;14,821;111.5;1.1;132.9;13,292;;17,162;153.9
E05000092;Kensal Green;Brent;16,248;112.1;1.1;144.9;14,494;;14,915;133.1
E05000093;Kenton;Brent;15,123;225;2.3;67.2;6,721;;12,133;53.9
E05000094;Kilburn;Brent;12,853;94.4;0.9;136.2;13,615;;16,989;180.0
E05000095;Mapesbury;Brent;18,410;139.4;1.4;132.1;13,207;;15,529;111.4
E05000096;Northwick Park;Brent;16,074;267.3;2.7;60.1;6,013;;12,811;47.9
E05000097;Preston;Brent;12,390;239.5;2.4;51.7;5,173;;15,474;64.6
E05000098;Queens Park;Brent;16,137;148.9;1.5;108.4;10,837;;15,281;102.6
E05000099;Queensbury;Brent;15,766;205;2.1;76.9;7,691;;15,155;73.9
E05000100;Stonebridge;Brent;19,660;405.5;4.1;48.5;4,848;;16,903;41.7
E05000101;Sudbury;Brent;20,982;213;2.1;98.5;9,851;;14,950;70.2
E05000102;Tokyngton;Brent;16,314;276.4;2.8;59.0;5,902;;15,105;54.6
E05000103;Welsh Harp;Brent;24,137;231.2;2.3;104.4;10,440;;13,753;59.5
E05000104;Wembley Central;Brent;13,994;160.3;1.6;87.3;8,730;;14,727;91.9
E05000105;Willesden Green;Brent;18,629;154.7;1.5;120.4;12,042;;15,587;100.8
E05000106;Bickley;Bromley;16,365;486.9;4.9;33.6;3,361;;15,098;31.0
E05000107;Biggin Hill;Bromley;16,867;828.2;8.3;20.4;2,037;;9,951;12.0
E05000108;Bromley Common and Keston;Bromley;10,828;832.1;8.3;13.0;1,301;;15,113;18.2
E05000109;Bromley Town;Bromley;17,824;371.8;3.7;47.9;4,794;;16,826;45.3
E05000110;Chelsfield and Pratts Bottom;Bromley;21,462;1256.2;12.6;17.1;1,708;;14,507;11.5
E05000111;Chislehurst;Bromley;15,600;1044.9;10.4;14.9;1,493;;14,831;14.2
E05000112;Clock House;Bromley;17,039;226.6;2.3;75.2;7,519;;15,560;68.7
E05000113;Copers Cope;Bromley;17,191;328.6;3.3;52.3;5,232;;15,392;46.8
E05000114;Cray Valley East;Bromley;17,219;1328.8;13.3;13.0;1,296;;15,445;11.6
E05000115;Cray Valley West;Bromley;16,833;393.8;3.9;42.7;4,275;;16,769;42.6
E05000116;Crystal Palace;Bromley;17,732;229.3;2.3;77.3;7,733;;12,255;53.4
E05000117;Darwin;Bromley;13,976;2903.5;29.0;4.8;481;;5,110;1.8
E05000118;Farnborough and Crofton;Bromley;5,558;699.5;7.0;7.9;795;;14,632;20.9
E05000119;Hayes and Coney Hall;Bromley;15,549;1081.7;10.8;14.4;1,437;;15,906;14.7
E05000120;Kelsey and Eden Park;Bromley;17,164;520;5.2;33.0;3,301;;15,892;30.6
E05000121;Mottingham and Chislehurst North;Bromley;17,681;244.9;2.4;72.2;7,220;;9,987;40.8
E05000122;Orpington;Bromley;10,549;425.6;4.3;24.8;2,479;;15,311;36.0
E05000123;Penge and Cator;Bromley;16,152;295.7;3.0;54.6;5,462;;17,326;58.6
E05000124;Petts Wood and Knoll;Bromley;18,608;430.2;4.3;43.3;4,325;;13,651;31.7
E05000125;Plaistow and Sundridge;Bromley;15,388;399.3;4.0;38.5;3,854;;15,122;37.9
E05000126;Shortlands;Bromley;16,949;245.6;2.5;69.0;6,901;;9,824;40.0
E05000127;West Wickham;Bromley;10,604;441.3;4.4;24.0;2,403;;14,884;33.7
E05000128;Belsize;Camden;15,775;78;0.8;202.2;20,224;;12,702;162.8
E05000129;Bloomsbury;Camden;14,531;102.1;1.0;142.3;14,232;;10,892;106.7
E05000130;Camden Town with Primrose Hill;Camden;12,337;116.6;1.2;105.8;10,581;;12,613;108.2
E05000131;Cantelowes;Camden;15,090;75.8;0.8;199.1;19,908;;11,925;157.3
E05000132;Fortune Green;Camden;14,355;100.5;1.0;142.8;14,284;;11,740;116.8
E05000133;Frognal and Fitzjohns;Camden;13,814;153.3;1.5;90.1;9,011;;11,986;78.2
E05000134;Gospel Oak;Camden;14,085;69.1;0.7;203.8;20,384;;11,264;163.0
E05000135;Hampstead Town;Camden;13,041;245;2.5;53.2;5,323;;11,270;46.0
E05000136;Haverstock;Camden;12,451;73.2;0.7;170.1;17,010;;12,364;168.9
E05000137;Highgate;Camden;14,229;324.2;3.2;43.9;4,389;;10,955;33.8
E05000138;Holborn and Covent Garden;Camden;12,016;120.1;1.2;100.0;10,005;;13,023;108.4
E05000139;Kentish Town;Camden;15,544;102.8;1.0;151.2;15,121;;13,417;130.5
E05000140;Kilburn;Camden;15,993;68.6;0.7;233.1;23,313;;12,038;175.5
E05000141;King's Cross;Camden;14,205;61;0.6;232.9;23,287;;11,843;194.1
E05000142;Regent's Park;Camden;13,335;135;1.4;98.8;9,878;;13,528;100.2
E05000143;St. Pancras and Somers Town;Camden;15,422;140;1.4;110.2;11,016;;13,818;98.7
E05000144;Swiss Cottage;Camden;20,658;125.7;1.3;164.3;16,434;;12,900;102.6
E05000145;West Hampstead;Camden;15,238;88.7;0.9;171.8;17,179;;12,060;136.0
E05000146;Addiscombe;Croydon;14,739;159.5;1.6;92.4;9,241;;16,883;105.8
E05000147;Ashburton;Croydon;18,701;271.4;2.7;68.9;6,891;;14,721;54.2
E05000148;Bensham Manor;Croydon;14,611;144.6;1.4;101.0;10,104;;16,201;112.0
E05000149;Broad Green;Croydon;17,534;266.7;2.7;65.7;6,574;;18,652;69.9
E05000150;Coulsdon East;Croydon;23,519;774.3;7.7;30.4;3,037;;12,244;15.8
E05000151;Coulsdon West;Croydon;12,583;499.5;5.0;25.2;2,519;;13,449;26.9
E05000152;Croham;Croydon;16,969;352.3;3.5;48.2;4,817;;15,790;44.8
E05000153;Fairfield;Croydon;17,382;376.5;3.8;46.2;4,617;;16,569;44.0
E05000154;Fieldway;Croydon;30,959;148.5;1.5;208.5;20,848;;11,479;77.3
E05000155;Heathfield;Croydon;12,046;871;8.7;13.8;1,383;;13,213;15.2
E05000156;Kenley;Croydon;13,298;646;6.5;20.6;2,059;;14,966;23.2
E05000157;New Addington;Croydon;15,795;242.8;2.4;65.1;6,505;;10,801;44.5
E05000158;Norbury;Croydon;11,670;252;2.5;46.3;4,631;;16,476;65.4
E05000159;Purley;Croydon;18,266;417.3;4.2;43.8;4,377;;14,607;35.0
E05000160;Sanderstead;Croydon;16,650;634.6;6.3;26.2;2,624;;12,777;20.1
E05000161;Selhurst;Croydon;13,050;227.7;2.3;57.3;5,731;;18,087;79.4
E05000162;Selsdon and Ballards;Croydon;19,400;640.6;6.4;30.3;3,028;;11,719;18.3
E05000163;Shirley;Croydon;12,284;280;2.8;43.9;4,387;;14,296;51.1
E05000164;South Norwood;Croydon;14,315;238.1;2.4;60.1;6,012;;16,518;69.4
E05000165;Thornton Heath;Croydon;17,584;168.1;1.7;104.6;10,460;;16,539;98.4
E05000166;Upper Norwood;Croydon;17,578;262;2.6;67.1;6,709;;16,082;61.4
E05000167;Waddon;Croydon;16,951;364.4;3.6;46.5;4,652;;17,077;46.9
E05000168;West Thornton;Croydon;18,640;197.4;2.0;94.4;9,443;;17,489;88.6
E05000169;Woodside;Croydon;19,495;216.7;2.2;90.0;8,996;;16,743;77.3
E05000170;Acton Central;Ealing;17,118;177.5;1.8;96.4;9,644;;15,427;86.9
E05000171;Cleveland;Ealing;16,529;223.2;2.2;74.1;7,405;;14,558;65.2
E05000172;Dormers Wells;Ealing;15,774;225.9;2.3;69.8;6,983;;13,910;61.6
E05000173;Ealing Broadway;Ealing;14,939;185.7;1.9;80.4;8,045;;14,029;75.5
E05000174;Ealing Common;Ealing;16,780;214;2.1;78.4;7,841;;14,019;65.5
E05000175;East Acton;Ealing;14,275;427.2;4.3;33.4;3,342;;18,706;43.8
E05000176;Elthorne;Ealing;26,308;200;2.0;131.5;13,154;;14,539;72.7
E05000177;Greenford Broadway;Ealing;17,242;252.2;2.5;68.4;6,837;;17,625;69.9
E05000178;Greenford Green;Ealing;18,728;338.1;3.4;55.4;5,539;;14,349;42.4
E05000179;Hanger Hill;Ealing;17,905;327.4;3.3;54.7;5,469;;15,561;47.5
E05000180;Hobbayne;Ealing;16,088;220.8;2.2;72.9;7,286;;14,229;64.4
E05000181;Lady Margaret;Ealing;14,472;153.9;1.5;94.0;9,404;;13,897;90.3
E05000182;Northfield;Ealing;13,894;153.5;1.5;90.5;9,051;;13,517;88.1
E05000183;North Greenford;Ealing;14,022;324.8;3.2;43.2;4,317;;14,713;45.3
E05000184;Northolt Mandeville;Ealing;15,259;275.2;2.8;55.4;5,545;;15,183;55.2
E05000185;Northolt West End;Ealing;15,710;354.8;3.5;44.3;4,428;;15,121;42.6
E05000186;Norwood Green;Ealing;14,548;379.4;3.8;38.3;3,834;;14,032;37.0
E05000187;Perivale;Ealing;17,402;336.5;3.4;51.7;5,171;;15,339;45.6
E05000188;South Acton;Ealing;15,917;171.9;1.7;92.6;9,259;;14,873;86.5
E05000189;Southall Broadway;Ealing;18,939;162.2;1.6;116.8;11,676;;13,439;82.9
E05000190;Southall Green;Ealing;17,314;158.5;1.6;109.2;10,924;;14,579;92.0
E05000191;Southfield;Ealing;18,242;143.5;1.4;127.1;12,712;;13,474;93.9
E05000192;Walpole;Ealing;13,915;146.6;1.5;94.9;9,492;;13,330;90.9
E05000193;Bowes;Enfield;13,715;148.5;1.5;92.4;9,236;;14,051;94.6
E05000194;Bush Hill Park;Enfield;15,237;252.6;2.5;60.3;6,032;;13,923;55.1
E05000195;Chase;Enfield;14,971;1694.4;16.9;8.8;884;;13,762;8.1
E05000196;Cockfosters;Enfield;14,711;1040.7;10.4;14.1;1,414;;13,788;13.2
E05000197;Edmonton Green;Enfield;16,550;312.9;3.1;52.9;5,289;;17,949;57.4
E05000198;Enfield Highway;Enfield;19,306;463.9;4.6;41.6;4,162;;16,027;34.5
E05000199;Enfield Lock;Enfield;16,995;325.1;3.3;52.3;5,228;;16,469;50.7
E05000200;Grange;Enfield;18,472;328.6;3.3;56.2;5,621;;12,709;38.7
E05000201;Haselbury;Enfield;14,521;179.7;1.8;80.8;8,081;;16,263;90.5
E05000202;Highlands;Enfield;17,620;508.8;5.1;34.6;3,463;;13,006;25.6
E05000203;Jubilee;Enfield;14,969;391.8;3.9;38.2;3,821;;14,355;36.6
E05000204;Lower Edmonton;Enfield;14,860;217.5;2.2;68.3;6,832;;16,531;76.0
E05000205;Palmers Green;Enfield;17,750;194.1;1.9;91.4;9,145;;15,162;78.1
E05000206;Ponders End;Enfield;16,605;354.5;3.5;46.8;4,684;;15,664;44.2
E05000207;Southbury;Enfield;17,929;286.4;2.9;62.6;6,260;;14,506;50.6
E05000208;Southgate;Enfield;16,284;269.1;2.7;60.5;6,051;;14,454;53.7
E05000209;Southgate Green;Enfield;16,343;261.7;2.6;62.4;6,245;;13,787;52.7
E05000210;Town;Enfield;16,380;223.3;2.2;73.4;7,335;;14,906;66.8
E05000211;Turkey Street;Enfield;16,169;225.7;2.3;71.6;7,164;;14,377;63.7
E05000212;Upper Edmonton;Enfield;15,596;265.1;2.7;58.8;5,883;;17,374;65.5
E05000213;Winchmore Hill;Enfield;24,077;275.7;2.8;87.3;8,733;;13,403;48.6
E05000214;Abbey Wood;Greenwich;14,647;265.3;2.7;55.2;5,521;;15,704;59.2
E05000215;Blackheath Westcombe;Greenwich;16,084;213.8;2.1;75.2;7,523;;12,875;60.2
E05000216;Charlton;Greenwich;13,472;203.4;2.0;66.2;6,623;;14,385;70.7
E05000217;Coldharbour and New Eltham;Greenwich;15,254;254.9;2.5;59.8;5,984;;13,062;51.2
E05000218;Eltham North;Greenwich;13,594;255;2.6;53.3;5,331;;12,519;49.1
E05000219;Eltham South;Greenwich;12,607;462.7;4.6;27.2;2,725;;12,541;27.1
E05000220;Eltham West;Greenwich;12,879;242.6;2.4;53.1;5,309;;10,399;42.9
E05000221;Glyndon;Greenwich;16,469;170.4;1.7;96.6;9,665;;18,171;106.6
E05000222;Greenwich West;Greenwich;19,618;279.7;2.8;70.1;7,014;;16,527;59.1
E05000223;Kidbrooke with Hornfair;Greenwich;21,866;237.8;2.4;92.0;9,195;;14,300;60.1
E05000224;Middle Park and Sutcliffe;Greenwich;14,660;328.4;3.3;44.6;4,464;;13,505;41.1
E05000225;Peninsula;Greenwich;13,372;448.2;4.5;29.8;2,983;;14,051;31.3
E05000226;Plumstead;Greenwich;26,331;235.1;2.4;112.0;11,200;;16,736;71.2
E05000227;Shooters Hill;Greenwich;17,865;378;3.8;47.3;4,726;;13,433;35.5
E05000228;Thamesmead Moorings;Greenwich;13,219;481.1;4.8;27.5;2,748;;19,730;41.0
E05000229;Woolwich Common;Greenwich;21,646;262;2.6;82.6;8,262;;17,499;66.8
E05000230;Woolwich Riverside;Greenwich;21,885;319.5;3.2;68.5;6,850;;19,120;59.8
E05000231;Brownswood;Hackney;26,218;84.1;0.8;311.7;31,175;;11,091;131.9
E05000232;Cazenove;Hackney;15,894;68.4;0.7;232.4;23,237;;13,392;195.8
E05000233;Chatham;Hackney;14,866;90.9;0.9;163.5;16,354;;13,232;145.6
E05000234;Clissold;Hackney;16,153;70.2;0.7;230.1;23,010;;12,212;174.0
E05000235;Dalston;Hackney;13,352;92.7;0.9;144.0;14,403;;14,727;158.9
E05000236;De Beauvoir;Hackney;17,274;88.9;0.9;194.3;19,431;;13,643;153.5
E05000237;Hackney Central;Hackney;17,640;78;0.8;226.2;22,615;;12,548;160.9
